TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
,2124,Malik,Allen,Malik Allen,PF-C,25.5,29.0,11.83,,3.38,13.0
,12019,Harold,Arceneaux,Harold Arceneaux,SG-SF,,29.0,13.8,,,0.0
,12020,Lamont,Barnes,Lamont Barnes,PF-C,28.0,29.5,12.3,,3.4,10.0
,12131,Mario,Bland,Mario Bland,PF,27.0,31.0,13.04,,3.47,15.0
,2056,Primoz,Brezec,Primoz Brezec,C,26.0,29.5,11.53,,3.55,
,2081,Ernest,Brown,Ernest Brown,C,,,,,,2.0
,2049,Speedy,Claxton,Speedy Claxton,PG,36.0,42.5,10.48,,3.06,6.0
,12132,Eric,Coley,Eric Coley,SG-SF,35.0,38.0,11.4,,3.15,10.0
,12133,Ed,Cota,Ed Cota,PG,26.5,33.5,10.98,,3.24,1.0
,12134,Schea,Cotton,Schea Cotton,SF,34.0,38.0,11.55,,3.0,19.0
,2037,Jamal,Crawford,Jamal Crawford,PG-SG,,,,,,0.0
,12017,Caswell,Cyrus,Caswell Cyrus,PF,33.5,37.5,12.12,,3.16,18.0
,2064,Khalid,El-Amin,Khalid El-Amin,PG,27.5,32.0,10.59,,3.32,6.0
,12018,Vassil,Evtimov,Vassil Evtimov,PF,21.0,28.5,11.75,,3.52,13.0
,2238,Antonis,Fotsis,Antonis Fotsis,SF,27.0,30.0,11.6,,3.44,2.0
,2109,Eddie,Gill,Eddie Gill,PG,35.0,38.5,11.12,,3.18,13.0
,12135,Ceedric,Goodwyn,Ceedric Goodwyn,SF-PF,,,,,,
,12136,Marcus,Goree,Marcus Goree,SF-PF,29.5,33.5,12.0,,3.25,13.0
,12137,A.J.,Granger,A.J. Granger,SF,30.0,34.0,10.73,,3.25,20.0
,2062,A.J.,Guyton,A.J. Guyton,PG-SG,33.0,37.5,10.55,,3.22,9.0
,2110,Ron,Hale,Ron Hale,SG-SF,29.5,34.5,12.58,,3.2,11.0
,2078,Jason,Hart,Jason Hart,PG,29.5,33.5,11.7,,3.34,9.0
,2051,Donnell,Harvey,Donnell Harvey,PF,33.0,32.5,11.23,,,15.0
,12138,Johnny,Hemsley,Johnny Hemsley,SG-SF,31.5,35.0,11.5,,3.19,5.0
,12139,Michael,Hermon,Michael Hermon,SG-PG,29.0,33.0,11.79,,3.25,0.0
,2083,Cory,Hightower,Cory Hightower,SG-SF,29.5,34.5,11.92,,3.37,0.0
,12140,Shaheen,Holloway,Shaheen Holloway,PG,,,11.22,,3.32,6.0
,2067,Eddie,House,Eddie House,SG-PG,29.5,38.5,11.12,,3.27,5.0
,2111,Jimmie,Hunter,Jimmie Hunter,SG-PG,29.0,36.0,11.23,,3.35,0.0
,12141,Jacob,Jaacks,Jacob Jaacks,PF,26.0,32.0,11.48,,3.58,3.0
,2060,Marko,Jaric,Marko Jaric,SG-SF,27.5,33.0,11.32,,3.28,
,12142,Nate,Johnson,Nate Johnson,SF,27.0,33.5,11.9,,3.33,13.0
,12143,Kenyon,Jones,Kenyon Jones,PF-C,28.5,30.0,12.44,,3.6,20.0
,2077,Mark,Karcher,Mark Karcher,SG,27.5,30.5,11.51,,3.4,12.0
,12144,Brandon,Kurtz,Brandon Kurtz,PF-C,,,,,,7.0
,2061,Dan,Langhi,Dan Langhi,SF,31.0,34.5,10.85,,3.24,12.0
,2090,Justin,Love,Justin Love,PG-SG,31.0,38.5,10.99,,3.31,24.0
,2058,Mark,Madsen,Mark Madsen,PF,30.5,33.5,12.12,,3.46,13.0
,2082,Dan,McClintock,Dan McClintock,C-PF,33.0,35.0,11.52,,3.33,20.0
,2087,Pete,Mickeal,Pete Mickeal,SG-SF,28.0,34.5,10.83,,3.06,8.0
,12145,Brian,Montonati,Brian Montonati,PF,25.0,29.0,11.85,,3.53,5.0
,2508,Gabe,Muoneke,Gabe Muoneke,PF-SF,30.5,34.0,11.0,,3.4,22.0
,12146,Ndongo,N'diaye,Ndongo N'diaye,C,24.5,27.5,13.16,,3.69,4.0
,2059,Eduardo,Najera,Eduardo Najera,PF-SF,28.0,35.0,11.38,,3.45,15.0
,12147,Matthew,Nielsen,Matthew Nielsen,PF,26.0,29.0,11.28,,3.35,3.0
,2084,Chris,Porter,Chris Porter,SF-PF,28.5,35.0,10.93,,3.2,6.0
,2068,Lavor,Postell,Lavor Postell,SG,33.5,36.5,11.79,,3.3,17.0
